transaction_id,timestamp,transaction_type,merchant_category,amount_inr,transaction_status,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,fraud_flag,hour_of_day,day_of_week,is_weekend,date,month,month_name,quarter,year_month
TXN0000000024,2024-01-21 07:57:52,P2M,Grocery,1847,SUCCESS,18-25,46-55,Gujarat,HDFC,Yes Bank,Android,5G,0,7,Sunday,1,2024-01-21,1,Jan,Q1,2024-01
TXN0000000025,2024-01-24 10:43:32,Bill Payment,Grocery,690,SUCCESS,26-35,26-35,Tamil Nadu,Yes Bank,PNB,iOS,5G,0,10,Wednesday,0,2024-01-24,1,Jan,Q1,2024-01
TXN0000000026,2024-07-01 12:01:59,Bill Payment,Entertainment,218,SUCCESS,18-25,36-45,Karnataka,Axis,Yes Bank,Android,4G,0,12,Monday,0,2024-07-01,7,Jul,Q3,2024-07
TXN0000000027,2024-08-28 21:10:26,P2P,Food,1276,SUCCESS,18-25,18-25,Karnataka,Kotak,HDFC,Android,5G,0,21,Wednesday,0,2024-08-28,8,Aug,Q3,2024-08
TXN0000000028,2024-11-09 18:49:43,P2P,Grocery,146,SUCCESS,26-35,36-45,Delhi,PNB,HDFC,iOS,4G,0,18,Saturday,1,2024-11-09,11,Nov,Q4,2024-11
TXN0000000029,2024-09-09 15:24:19,P2P,Grocery,1755,SUCCESS,36-45,36-45,Delhi,SBI,IndusInd,Web,WiFi,0,15,Monday,0,2024-09-09,9,Sep,Q3,2024-09
TXN0000000030,2024-10-18 17:43:42,Bill Payment,Transport,165,SUCCESS,18-25,26-35,Rajasthan,SBI,SBI,Android,4G,0,17,Friday,0,2024-10-18,10,Oct,Q4,2024-10
TXN0000000031,2024-12-20 16:15:02,P2P,Healthcare,1495,SUCCESS,26-35,36-45,Gujarat,SBI,HDFC,Android,4G,0,16,Friday,0,2024-12-20,12,Dec,Q4,2024-12
TXN0000000032,2024-12-17 16:45:04,P2P,Grocery,394,SUCCESS,18-25,18-25,Gujarat,Yes Bank,SBI,Android,5G,0,16,Tuesday,0,2024-12-17,12,Dec,Q4,2024-12
TXN0000000033,2024-05-11 16:47:57,Recharge,Shopping,1693,SUCCESS,26-35,36-45,Telangana,SBI,IndusInd,Android,5G,0,16,Saturday,1,2024-05-11,5,May,Q2,2024-05
TXN0000000034,2024-05-25 13:30:27,P2M,Food,144,SUCCESS,18-25,36-45,Maharashtra,PNB,PNB,Android,WiFi,0,13,Saturday,1,2024-05-25,5,May,Q2,2024-05
TXN0000000035,2024-02-23 07:27:48,P2M,Fuel,1804,SUCCESS,36-45,26-35,Telangana,Axis,SBI,Android,4G,0,7,Friday,0,2024-02-23,2,Feb,Q1,2024-02
TXN0000000036,2024-04-19 22:12:13,P2P,Fuel,721,SUCCESS,46-55,18-25,Gujarat,HDFC,ICICI,Android,3G,0,22,Friday,0,2024-04-19,4,Apr,Q2,2024-04
TXN0000000037,2024-07-26 17:09:31,P2M,Shopping,7987,SUCCESS,18-25,36-45,Maharashtra,IndusInd,IndusInd,Android,4G,0,17,Friday,0,2024-07-26,7,Jul,Q3,2024-07
TXN0000000038,2024-08-16 21:26:26,Bill Payment,Shopping,5154,SUCCESS,56+,36-45,Uttar Pradesh,ICICI,SBI,Web,5G,0,21,Friday,0,2024-08-16,8,Aug,Q3,2024-08
TXN0000000039,2024-07-23 17:02:19,P2P,Entertainment,131,SUCCESS,36-45,18-25,West Bengal,Yes Bank,SBI,Web,5G,0,17,Tuesday,0,2024-07-23,7,Jul,Q3,2024-07
TXN0000000040,2024-02-27 01:43:44,P2M,Healthcare,192,SUCCESS,26-35,26-35,Karnataka,SBI,SBI,Android,5G,0,1,Tuesday,0,2024-02-27,2,Feb,Q1,2024-02
TXN0000000041,2024-01-24 10:28:59,Recharge,Food,82,SUCCESS,56+,18-25,Gujarat,HDFC,SBI,Android,5G,0,10,Wednesday,0,2024-01-24,1,Jan,Q1,2024-01
TXN0000000042,2024-10-29 12:54:28,P2M,Shopping,4309,SUCCESS,56+,36-45,Maharashtra,Kotak,HDFC,Android,4G,0,12,Tuesday,0,2024-10-29,10,Oct,Q4,2024-10
TXN0000000043,2024-01-18 13:49:18,P2P,Utilities,2338,SUCCESS,26-35,56+,Gujarat,Axis,SBI,Android,5G,0,13,Thursday,0,2024-01-18,1,Jan,Q1,2024-01
TXN0000000044,2024-02-17 14:03:59,P2M,Food,292,SUCCESS,56+,26-35,Tamil Nadu,SBI,SBI,Android,4G,0,14,Saturday,1,2024-02-17,2,Feb,Q1,2024-02
TXN0000000045,2024-09-08 09:21:24,P2P,Grocery,765,SUCCESS,18-25,36-45,Maharashtra,SBI,Yes Bank,iOS,WiFi,0,9,Sunday,1,2024-09-08,9,Sep,Q3,2024-09
TXN0000000046,2024-09-29 21:04:43,P2P,Transport,51,SUCCESS,18-25,36-45,Uttar Pradesh,Axis,IndusInd,iOS,4G,0,21,Sunday,1,2024-09-29,9,Sep,Q3,2024-09
TXN0000000047,2024-03-04 09:35:06,Bill Payment,Food,144,SUCCESS,18-25,18-25,Delhi,Yes Bank,Axis,Android,WiFi,0,9,Monday,0,2024-03-04,3,Mar,Q1,2024-03
TXN0000000048,2024-02-06 17:19:01,P2P,Other,994,SUCCESS,18-25,36-45,Uttar Pradesh,PNB,SBI,Android,5G,0,17,Tuesday,0,2024-02-06,2,Feb,Q1,2024-02
TXN0000000049,2024-05-25 17:14:30,P2P,Shopping,2393,SUCCESS,26-35,26-35,Maharashtra,ICICI,ICICI,Android,5G,0,17,Saturday,1,2024-05-25,5,May,Q2,2024-05
TXN0000000050,2024-02-29 18:47:50,P2P,Other,864,SUCCESS,36-45,46-55,West Bengal,Yes Bank,SBI,Android,4G,0,18,Thursday,0,2024-02-29,2,Feb,Q1,2024-02
TXN0000000051,2024-12-05 18:42:05,P2P,Transport,36,SUCCESS,36-45,36-45,Gujarat,ICICI,IndusInd,Android,WiFi,0,18,Thursday,0,2024-12-05,12,Dec,Q4,2024-12
TXN0000000052,2024-02-15 10:52:50,P2M,Utilities,582,SUCCESS,18-25,18-25,Delhi,PNB,IndusInd,Android,4G,0,10,Thursday,0,2024-02-15,2,Feb,Q1,2024-02
TXN0000000053,2024-08-31 15:47:47,P2P,Other,364,SUCCESS,36-45,26-35,Gujarat,SBI,HDFC,iOS,4G,0,15,Saturday,1,2024-08-31,8,Aug,Q3,2024-08
TXN0000000054,2024-01-11 18:25:54,P2P,Other,203,SUCCESS,36-45,18-25,Delhi,SBI,IndusInd,Android,4G,0,18,Thursday,0,2024-01-11,1,Jan,Q1,2024-01
TXN0000000055,2024-04-29 18:29:03,P2M,Shopping,4987,SUCCESS,56+,26-35,Karnataka,PNB,Yes Bank,iOS,4G,0,18,Monday,0,2024-04-29,4,Apr,Q2,2024-04
TXN0000000056,2024-09-13 10:41:54,P2P,Entertainment,213,SUCCESS,26-35,18-25,West Bengal,HDFC,Yes Bank,Android,4G,0,10,Friday,0,2024-09-13,9,Sep,Q3,2024-09
TXN0000000057,2024-10-07 05:43:58,P2M,Healthcare,1315,SUCCESS,26-35,18-25,West Bengal,HDFC,PNB,Android,4G,0,5,Monday,0,2024-10-07,10,Oct,Q4,2024-10
TXN0000000058,2024-01-16 21:57:18,P2P,Grocery,2685,SUCCESS,36-45,26-35,Gujarat,SBI,Kotak,Android,4G,0,21,Tuesday,0,2024-01-16,1,Jan,Q1,2024-01
TXN0000000059,2024-11-21 15:54:16,P2M,Entertainment,220,SUCCESS,18-25,18-25,Karnataka,PNB,ICICI,Android,4G,0,15,Thursday,0,2024-11-21,11,Nov,Q4,2024-11
TXN0000000060,2024-10-14 19:49:43,P2M,Fuel,1831,SUCCESS,36-45,26-35,Delhi,PNB,Kotak,iOS,5G,0,19,Monday,0,2024-10-14,10,Oct,Q4,2024-10
TXN0000000061,2024-09-11 20:20:53,P2P,Shopping,159,FAILED,56+,36-45,Tamil Nadu,SBI,PNB,Android,5G,0,20,Wednesday,0,2024-09-11,9,Sep,Q3,2024-09
TXN0000000062,2024-08-25 15:26:59,P2P,Entertainment,475,SUCCESS,18-25,18-25,Karnataka,ICICI,HDFC,Android,4G,0,15,Sunday,1,2024-08-25,8,Aug,Q3,2024-08
TXN0000000063,2024-03-15 17:31:32,P2M,Food,351,SUCCESS,26-35,36-45,Uttar Pradesh,Yes Bank,ICICI,Android,5G,0,17,Friday,0,2024-03-15,3,Mar,Q1,2024-03
TXN0000000064,2024-01-12 08:34:27,P2P,Other,726,SUCCESS,26-35,18-25,Uttar Pradesh,SBI,PNB,Android,WiFi,0,8,Friday,0,2024-01-12,1,Jan,Q1,2024-01
TXN0000000065,2024-04-29 17:25:36,P2P,Food,386,SUCCESS,26-35,18-25,Uttar Pradesh,SBI,Yes Bank,Android,4G,0,17,Monday,0,2024-04-29,4,Apr,Q2,2024-04
TXN0000000066,2024-04-29 17:06:40,P2M,Food,55,SUCCESS,26-35,18-25,Rajasthan,ICICI,ICICI,iOS,4G,0,17,Monday,0,2024-04-29,4,Apr,Q2,2024-04
TXN0000000067,2024-07-14 05:33:24,P2M,Other,394,SUCCESS,56+,46-55,Uttar Pradesh,SBI,ICICI,Android,4G,0,5,Sunday,1,2024-07-14,7,Jul,Q3,2024-07
TXN0000000068,2024-08-14 18:30:01,P2M,Shopping,221,FAILED,46-55,26-35,Delhi,HDFC,IndusInd,iOS,5G,0,18,Wednesday,0,2024-08-14,8,Aug,Q3,2024-08
TXN0000000069,2024-11-06 12:39:26,Bill Payment,Food,131,SUCCESS,26-35,18-25,Telangana,Axis,SBI,Android,4G,0,12,Wednesday,0,2024-11-06,11,Nov,Q4,2024-11
TXN0000000070,2024-04-08 12:29:12,P2M,Fuel,257,SUCCESS,56+,26-35,Uttar Pradesh,PNB,Axis,Android,5G,0,12,Monday,0,2024-04-08,4,Apr,Q2,2024-04
TXN0000000071,2024-12-14 12:14:48,Bill Payment,Shopping,183,SUCCESS,26-35,26-35,Gujarat,PNB,Yes Bank,iOS,4G,0,12,Saturday,1,2024-12-14,12,Dec,Q4,2024-12
TXN0000000072,2024-01-27 08:43:13,P2P,Healthcare,1376,SUCCESS,36-45,36-45,Gujarat,IndusInd,Kotak,Android,4G,0,8,Saturday,1,2024-01-27,1,Jan,Q1,2024-01
TXN0000000073,2024-03-10 16:12:17,P2P,Other,760,SUCCESS,36-45,36-45,Maharashtra,SBI,SBI,Android,4G,0,16,Sunday,1,2024-03-10,3,Mar,Q1,2024-03
TXN0000000074,2024-12-04 18:27:37,Bill Payment,Utilities,2060,SUCCESS,36-45,46-55,Karnataka,Axis,ICICI,iOS,4G,0,18,Wednesday,0,2024-12-04,12,Dec,Q4,2024-12
TXN0000000075,2024-08-29 21:38:33,P2P,Food,929,SUCCESS,26-35,26-35,West Bengal,SBI,Yes Bank,iOS,4G,0,21,Thursday,0,2024-08-29,8,Aug,Q3,2024-08
TXN0000000076,2024-05-19 19:09:43,P2P,Transport,89,SUCCESS,36-45,36-45,Karnataka,PNB,Kotak,Android,5G,0,19,Sunday,1,2024-05-19,5,May,Q2,2024-05
TXN0000000077,2024-12-16 14:23:44,Bill Payment,Utilities,417,SUCCESS,36-45,36-45,Telangana,HDFC,SBI,Android,5G,0,14,Monday,0,2024-12-16,12,Dec,Q4,2024-12
TXN0000000078,2024-09-04 20:34:53,P2P,Utilities,1415,SUCCESS,36-45,36-45,Tamil Nadu,ICICI,SBI,Android,4G,0,20,Wednesday,0,2024-09-04,9,Sep,Q3,2024-09
TXN0000000079,2024-09-18 07:14:59,P2M,Education,588,SUCCESS,26-35,36-45,Rajasthan,Yes Bank,Axis,Android,4G,0,7,Wednesday,0,2024-09-18,9,Sep,Q3,2024-09
TXN0000000080,2024-11-08 20:26:51,P2M,Utilities,8335,SUCCESS,46-55,46-55,West Bengal,Axis,IndusInd,Web,4G,0,20,Friday,0,2024-11-08,11,Nov,Q4,2024-11
TXN0000000081,2024-10-20 13:14:17,Bill Payment,Utilities,4279,SUCCESS,36-45,36-45,Uttar Pradesh,PNB,SBI,Android,5G,0,13,Sunday,1,2024-10-20,10,Oct,Q4,2024-10
TXN0000000082,2024-08-03 13:15:20,P2M,Utilities,318,SUCCESS,36-45,18-25,Andhra Pradesh,PNB,Axis,Android,5G,0,13,Saturday,1,2024-08-03,8,Aug,Q3,2024-08
TXN0000000083,2024-01-03 10:03:52,P2M,Shopping,1496,SUCCESS,46-55,36-45,Uttar Pradesh,PNB,Kotak,Android,4G,0,10,Wednesday,0,2024-01-03,1,Jan,Q1,2024-01
TXN0000000084,2024-11-04 18:06:01,P2P,Utilities,924,SUCCESS,18-25,36-45,Karnataka,ICICI,ICICI,Android,4G,0,18,Monday,0,2024-11-04,11,Nov,Q4,2024-11
TXN0000000085,2024-04-30 19:43:23,P2P,Food,291,SUCCESS,36-45,46-55,Maharashtra,HDFC,ICICI,Web,4G,0,19,Tuesday,0,2024-04-30,4,Apr,Q2,2024-04
TXN0000000086,2024-09-02 18:42:16,Bill Payment,Grocery,665,SUCCESS,36-45,46-55,Maharashtra,Kotak,HDFC,iOS,4G,0,18,Monday,0,2024-09-02,9,Sep,Q3,2024-09
TXN0000000087,2024-01-20 11:01:51,P2P,Fuel,669,SUCCESS,36-45,36-45,Delhi,SBI,ICICI,iOS,3G,0,11,Saturday,1,2024-01-20,1,Jan,Q1,2024-01
TXN0000000088,2024-09-27 22:15:17,Recharge,Grocery,1855,SUCCESS,36-45,36-45,Tamil Nadu,IndusInd,ICICI,Android,4G,0,22,Friday,0,2024-09-27,9,Sep,Q3,2024-09
TXN0000000089,2024-04-03 12:09:00,P2M,Utilities,1015,SUCCESS,18-25,26-35,Uttar Pradesh,Axis,SBI,iOS,4G,0,12,Wednesday,0,2024-04-03,4,Apr,Q2,2024-04
TXN0000000090,2024-08-01 09:40:13,P2M,Other,188,SUCCESS,26-35,36-45,Gujarat,PNB,Kotak,Android,4G,0,9,Thursday,0,2024-08-01,8,Aug,Q3,2024-08
TXN0000000091,2024-07-14 12:18:55,P2P,Other,1702,SUCCESS,26-35,18-25,Telangana,SBI,SBI,Android,4G,0,12,Sunday,1,2024-07-14,7,Jul,Q3,2024-07
TXN0000000092,2024-08-04 10:24:23,Bill Payment,Food,1816,SUCCESS,18-25,18-25,Rajasthan,Kotak,SBI,Android,4G,0,10,Sunday,1,2024-08-04,8,Aug,Q3,2024-08
TXN0000000093,2024-05-19 18:03:48,P2P,Other,712,SUCCESS,46-55,26-35,Gujarat,SBI,PNB,Android,5G,0,18,Sunday,1,2024-05-19,5,May,Q2,2024-05
TXN0000000094,2024-10-12 20:55:05,P2M,Grocery,461,SUCCESS,26-35,18-25,Karnataka,SBI,IndusInd,Android,5G,0,20,Saturday,1,2024-10-12,10,Oct,Q4,2024-10
TXN0000000095,2024-01-22 16:45:53,P2P,Transport,224,SUCCESS,26-35,18-25,Gujarat,Axis,SBI,Android,5G,0,16,Monday,0,2024-01-22,1,Jan,Q1,2024-01
TXN0000000096,2024-03-23 22:12:12,P2P,Shopping,2202,SUCCESS,36-45,46-55,West Bengal,Axis,SBI,Android,4G,0,22,Saturday,1,2024-03-23,3,Mar,Q1,2024-03
TXN0000000097,2024-02-19 18:16:54,Bill Payment,Shopping,7821,SUCCESS,26-35,26-35,Rajasthan,Yes Bank,Kotak,Web,5G,0,18,Monday,0,2024-02-19,2,Feb,Q1,2024-02
TXN0000000098,2024-04-14 20:11:53,P2M,Shopping,2135,SUCCESS,18-25,26-35,Maharashtra,ICICI,HDFC,Android,4G,0,20,Sunday,1,2024-04-14,4,Apr,Q2,2024-04
TXN0000000099,2024-07-16 12:59:19,P2P,Utilities,2776,SUCCESS,36-45,26-35,Telangana,IndusInd,SBI,Android,3G,0,12,Tuesday,0,2024-07-16,7,Jul,Q3,2024-07
TXN0000000100,2024-10-24 16:39:26,P2M,Grocery,543,SUCCESS,26-35,26-35,Karnataka,HDFC,Axis,Android,4G,0,16,Thursday,0,2024-10-24,10,Oct,Q4,2024-10
TXN0000000101,2024-12-09 19:55:16,P2P,Food,215,SUCCESS,18-25,26-35,Karnataka,ICICI,Kotak,Android,4G,0,19,Monday,0,2024-12-09,12,Dec,Q4,2024-12
TXN0000000102,2024-02-19 18:16:18,P2M,Education,8754,SUCCESS,36-45,26-35,West Bengal,ICICI,PNB,Android,4G,0,18,Monday,0,2024-02-19,2,Feb,Q1,2024-02
TXN0000000103,2024-08-25 06:09:52,Bill Payment,Grocery,561,SUCCESS,26-35,26-35,Andhra Pradesh,ICICI,Axis,Android,4G,0,6,Sunday,1,2024-08-25,8,Aug,Q3,2024-08
TXN0000000104,2024-09-16 18:23:44,P2P,Other,147,SUCCESS,26-35,36-45,West Bengal,SBI,ICICI,Android,4G,0,18,Monday,0,2024-09-16,9,Sep,Q3,2024-09
TXN0000000105,2024-06-09 20:44:10,Bill Payment,Other,661,SUCCESS,36-45,36-45,West Bengal,Yes Bank,Kotak,iOS,4G,0,20,Sunday,1,2024-06-09,6,Jun,Q2,2024-06
TXN0000000106,2024-07-29 20:35:08,P2M,Shopping,7145,SUCCESS,18-25,46-55,West Bengal,PNB,Yes Bank,Android,WiFi,0,20,Monday,0,2024-07-29,7,Jul,Q3,2024-07
TXN0000000107,2024-07-17 10:07:18,P2P,Fuel,4468,SUCCESS,36-45,36-45,Gujarat,Kotak,Yes Bank,Android,5G,0,10,Wednesday,0,2024-07-17,7,Jul,Q3,2024-07
TXN0000000108,2024-12-24 11:08:00,Bill Payment,Utilities,2850,SUCCESS,26-35,36-45,Rajasthan,Kotak,ICICI,Android,WiFi,0,11,Tuesday,0,2024-12-24,12,Dec,Q4,2024-12
TXN0000000109,2024-10-13 20:29:19,P2M,Utilities,2142,SUCCESS,18-25,36-45,Rajasthan,ICICI,IndusInd,Android,4G,0,20,Sunday,1,2024-10-13,10,Oct,Q4,2024-10
TXN0000000110,2024-07-19 11:30:17,Recharge,Food,61,SUCCESS,26-35,26-35,Maharashtra,PNB,SBI,Android,5G,0,11,Friday,0,2024-07-19,7,Jul,Q3,2024-07
TXN0000000111,2024-04-16 16:11:27,P2P,Food,1288,SUCCESS,36-45,46-55,Gujarat,SBI,ICICI,Android,4G,0,16,Tuesday,0,2024-04-16,4,Apr,Q2,2024-04
TXN0000000112,2024-08-11 19:39:57,P2P,Food,1014,SUCCESS,36-45,36-45,Delhi,IndusInd,PNB,Android,3G,0,19,Sunday,1,2024-08-11,8,Aug,Q3,2024-08
TXN0000000113,2024-02-05 19:13:08,Bill Payment,Other,2474,SUCCESS,56+,46-55,Delhi,Axis,HDFC,Web,WiFi,0,19,Monday,0,2024-02-05,2,Feb,Q1,2024-02
TXN0000000114,2024-11-25 19:54:21,P2M,Healthcare,861,SUCCESS,56+,26-35,Rajasthan,Yes Bank,SBI,Android,5G,0,19,Monday,0,2024-11-25,11,Nov,Q4,2024-11
TXN0000000115,2024-04-26 20:45:09,P2P,Transport,507,SUCCESS,36-45,36-45,Andhra Pradesh,SBI,Axis,Android,5G,0,20,Friday,0,2024-04-26,4,Apr,Q2,2024-04
TXN0000000116,2024-08-06 13:16:29,P2M,Shopping,404,SUCCESS,18-25,46-55,Gujarat,ICICI,SBI,Android,4G,0,13,Tuesday,0,2024-08-06,8,Aug,Q3,2024-08
TXN0000000117,2024-02-04 17:37:45,P2M,Other,621,SUCCESS,36-45,18-25,Delhi,SBI,Yes Bank,iOS,WiFi,0,17,Sunday,1,2024-02-04,2,Feb,Q1,2024-02
TXN0000000118,2024-10-24 09:26:22,Bill Payment,Fuel,1830,SUCCESS,18-25,18-25,Telangana,IndusInd,SBI,Android,4G,0,9,Thursday,0,2024-10-24,10,Oct,Q4,2024-10
TXN0000000119,2024-04-03 13:21:11,P2M,Other,657,SUCCESS,26-35,26-35,Delhi,PNB,HDFC,iOS,4G,0,13,Wednesday,0,2024-04-03,4,Apr,Q2,2024-04
TXN0000000120,2024-10-25 11:34:47,P2P,Shopping,6804,SUCCESS,26-35,26-35,Karnataka,Yes Bank,SBI,Android,5G,0,11,Friday,0,2024-10-25,10,Oct,Q4,2024-10
TXN0000000121,2024-03-20 05:14:55,P2P,Utilities,261,SUCCESS,26-35,26-35,Gujarat,HDFC,SBI,Android,4G,0,5,Wednesday,0,2024-03-20,3,Mar,Q1,2024-03
TXN0000000122,2024-01-20 13:38:44,P2P,Entertainment,268,SUCCESS,26-35,26-35,Uttar Pradesh,HDFC,PNB,Android,WiFi,0,13,Saturday,1,2024-01-20,1,Jan,Q1,2024-01
TXN0000000123,2024-01-03 14:46:52,P2P,Transport,1410,SUCCESS,26-35,18-25,Karnataka,SBI,Yes Bank,Android,4G,0,14,Wednesday,0,2024-01-03,1,Jan,Q1,2024-01
TXN0000000124,2024-01-23 11:47:26,P2P,Utilities,342,SUCCESS,26-35,26-35,Uttar Pradesh,Kotak,SBI,iOS,WiFi,0,11,Tuesday,0,2024-01-23,1,Jan,Q1,2024-01
TXN0000000125,2024-04-09 13:39:41,Bill Payment,Utilities,3941,SUCCESS,36-45,26-35,Telangana,HDFC,HDFC,iOS,4G,0,13,Tuesday,0,2024-04-09,4,Apr,Q2,2024-04
TXN0000000126,2024-05-12 11:54:45,P2M,Grocery,4073,SUCCESS,36-45,56+,Gujarat,Axis,Yes Bank,Android,WiFi,0,11,Sunday,1,2024-05-12,5,May,Q2,2024-05
TXN0000000127,2024-04-29 15:05:14,P2M,Food,91,SUCCESS,56+,46-55,Telangana,Axis,SBI,Android,4G,0,15,Monday,0,2024-04-29,4,Apr,Q2,2024-04
TXN0000000128,2024-09-14 13:32:47,Bill Payment,Entertainment,209,SUCCESS,56+,46-55,Karnataka,HDFC,ICICI,Web,4G,0,13,Saturday,1,2024-09-14,9,Sep,Q3,2024-09
TXN0000000129,2024-03-09 18:13:24,P2P,Transport,37,SUCCESS,26-35,26-35,Karnataka,HDFC,IndusInd,Android,5G,0,18,Saturday,1,2024-03-09,3,Mar,Q1,2024-03
TXN0000000130,2024-09-05 11:42:23,P2P,Fuel,596,SUCCESS,26-35,18-25,Maharashtra,Axis,HDFC,Android,4G,0,11,Thursday,0,2024-09-05,9,Sep,Q3,2024-09
TXN0000000131,2024-10-10 23:26:38,P2M,Transport,66,SUCCESS,36-45,36-45,Maharashtra,ICICI,PNB,iOS,4G,0,23,Thursday,0,2024-10-10,10,Oct,Q4,2024-10
TXN0000000132,2024-12-28 10:47:25,Recharge,Food,225,SUCCESS,26-35,36-45,Maharashtra,ICICI,HDFC,Android,4G,0,10,Saturday,1,2024-12-28,12,Dec,Q4,2024-12
TXN0000000133,2024-04-05 20:33:38,P2M,Entertainment,187,SUCCESS,26-35,18-25,Delhi,SBI,Axis,Android,4G,0,20,Friday,0,2024-04-05,4,Apr,Q2,2024-04
